post_id,mongo_id,platform,profile_url,source_stage,url,content_snippet,subtopic,nexus,violations,event,violations_str,violation_labels,violation_labels_str,reasoning,speech_type,intent,intensity_score,intensity_label,protected_expression,borderline,confidence,needs_url_enrichment,needs_fact_check,claim_to_verify,fact_check_note,enriched_from_url,fact_checked,skipped,status,stance,tone,target,polarity,sentiment_confidence,sentiment_reasoning,sentiment_skipped,sentiment_status
p1mvsvAN3ks,6a53c8b26dadc213c0cc930c,youtube,https://www.youtube.com/channel/UCLIMdoS-InL1-GIBUKSvydg,search,https://www.youtube.com/watch?v=p1mvsvAN3ks,"On CAM: Abhijeet Dipke VS Delhi Police SHOWDOWN At Jantar Mantar, Parliament March On July 20 by CJP Delhi rains led to tense scenes at Jantar Mantar, where the Cockroach Janata Party (CJP) continued its protest for the 20th day. Videos from the protest site show CJP founder Abhijeet Dipke confronting Delhi Police during a dispute over putting up tarpaulins amid the rain. Dipke is seen blocking the path of a police officer and following him during the exchange. The CJP alleges police prevented…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This post reports on a confrontation between a CJP leader and Delhi Police during a protest, which is news reporting.",news_report,report on a protest incident and police interaction,2,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.85,Describes a confrontation between Dipke and Delhi Police as a news event.,FALSE,ok
j8FW_6vxt90,6a53c8b26dadc213c0cc930d,youtube,https://www.youtube.com/channel/UCGaOkbpMXx4j07kxQYpxFDA,search,https://www.youtube.com/watch?v=j8FW_6vxt90,Cockroach Janata Party Exposed:Why Did Abhijeet Dipke Grovel at Police Feet?|Pooja Dubey| Mamta Kale The Cockroach Janata Party (CJP) has been staging a protest at Jantar Mantar for nearly 20 days over the alleged NEET paper leak. A video that surfaced on Thursday shows CJP founder Abhijeet Dipke pleading with police officers and touching their feet while requesting permission related to the ongoing protest. The incident has sparked fresh political debate and drawn widespread attention on socia…,abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This post reports on an incident involving a CJP founder and police, sparking political debate, which is news reporting and commentary.",news_report,report on a protest incident and its political implications,2,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.8,Reports on a video of Dipke pleading with police and the resulting debate.,FALSE,ok
4Jhp8bE4ahs,6a53c8b46dadc213c0cc9310,youtube,https://www.youtube.com/channel/UCmphdqZNmqL72WJ2uyiNw5w,search,https://www.youtube.com/watch?v=4Jhp8bE4ahs,"Sonam Wangchuk का अनशन.. लेकिन खाते-पीते दिखे CJP के Abhijeet Dipke? क्या है सच्चाई? |ABPLIVE जंतर-मंतर पर सोनम वांगचुक के अनशन के बीच CJP संस्थापक अभिजीत दीपके का कचौड़ी, ब्रेड पकौड़ा और नूडल्स खाते हुए वीडियो वायरल हो गया, जिसके बाद सोशल मीडिया पर उन्हें जमकर ट्रोल किया गया। अब दीपके ने सफाई देते हुए दावा किया है कि वायरल वीडियो पुराने हैं और उन्हें गलत संदर्भ में पेश किया जा रहा है। उन्होंने कहा कि यह वीडियो उस समय के हैं जब वांगचुक अनशन पर बैठे ही नहीं थे। आखिर क्यों पूरी कोर टीम भूख हड़ताल…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a viral video and a public figure's response, discussing a controversy around a protest.",news_report,report on a controversy and clarification,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.85,Reports on a viral video of Dipke eating during Wangchuk's fast and Dipke's clarification.,FALSE,ok
_Ab28dKslO4,6a53c8b56dadc213c0cc9312,youtube,https://www.youtube.com/channel/UCQtVJ-76KjPds9evTODkq-A,search,https://www.youtube.com/watch?v=_Ab28dKslO4,"CJP founder Abhijeet Dipke confronts Delhi police for not allowing tarpaulins at protest amid rains #jantarmantar #cjp #abhijeetdipke #RainProtest #viralvideo #delhinews #protestnews #cockroachjantaparty #indianews #breakingnews CJP founder Abhijeet Dipke confronted Delhi police after they did not allow tarpaulins at the protest site in Jantar Mantar amid heavy rains on July 9. Student protesters have been on a hunger strike for the past 12 days, since June 28, along with educationist and envir…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a confrontation between a protest leader and police regarding protest conditions, which is standard protest news.",news_report,report on protest conditions and police interaction,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.85,Reports on Dipke confronting police for not allowing tarpaulins during rain.,FALSE,ok
KAnDgBYQ34A,6a53c8b56dadc213c0cc9313,youtube,https://www.youtube.com/channel/UCWk-7Yosyvzln9ZzJg8BvVg,search,https://www.youtube.com/watch?v=KAnDgBYQ34A,Cockroach Janta Party Protest: Abhijeet Dipke की Delhi Police से गुहार | Sonam Wangchuk | CJP | Cockroach Janta Party Protest: Abhijeet Dipke की Delhi Police से गुहार | Sonam Wangchuk | CJP | Jantar Mantar #JantarMantar #CockroachJantaParty #AbhijeetDeepke #CJP #SonamWangchuk #NEET #NEETControversy #DelhiPolice #CJPProtest #ViralVideo #StudentProtest #HungerStrike #AbhijitDipke #DharmendraPradhanResign #DelhiRain #BreakingNews #HindiNews #LatestNews Cockroach Janta Party Protest: दिल्ली के जंतर…,abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a protest leader's appeal to Delhi Police, which is a common aspect of protest coverage.",news_report,report on protest leader's appeal to police,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.9,Reports on Dipke's plea to Delhi Police regarding the protest.,FALSE,ok
aTHR2JyR52A,6a53c8b66dadc213c0cc9315,youtube,https://www.youtube.com/channel/UCXoXw5mrS68SUS1Ivzv3-jQ,search,https://www.youtube.com/watch?v=aTHR2JyR52A,"Cockroach Janta Party | The Rajneeti | CJP Protest Jantar Mantar | Abhijeet Dipke | Rahul Gandhi #abhijeetdipke #rahulgandhi #cockroachjantaparty प्रधानमंत्री &संसद का भयंकर घेराव जंतर मंतर से कूच.. एक्सट्रा फोर्स तैनात बढ़ाई गई PM आवास,संसद की सुरक्षा! #therajneeti #praveensahnishow #rahulgandhi #congress #abhijeetdipke #dhurvrathee #cjiprotest #viveksir #dharmendrapradhan #sonamwangchuk #delhiprotest The Rajneeti News | The Rajneeti News Hindi | The Rajneeti News Update | The Rajneeti Latest…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a protest and increased security, which is standard news reporting on political events.",news_report,report on protest and security measures,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.8,"Reports on the CJP protest and increased security, presenting it as news.",FALSE,ok
2LyOVHO4u4Y,6a53c8b76dadc213c0cc9316,youtube,https://www.youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA,search,https://www.youtube.com/watch?v=2LyOVHO4u4Y,"Abhijeet Dipke Viral News : 'सर, सर, सर...'पुलिस के आगे नतमस्तक CJP के फाउंडर | #ytshorts #abhijeet Abhijeet Dipke Viral News : 'सर, सर, सर...'पुलिस के आगे नतमस्तक CJP के फाउंडर | #ytshorts #abhijeet | #ytshorts #abhijeet #cockroachjanataparty #dharmendrapradhanresign #cjpprotestdelhi #abhijeetdipkelive #sansadmargprotest #paperleakcontroversy #neetscam2026 #studentsdemandjustice #jantarmantarlive #ytshortsindia #shortsindia #breakingnewsdelhi #viralpoliticalvideo #trendingpoliticshindi #educat…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a protest leader's interaction with police, framed with a critical tone, but not violative.",political_criticism,criticize protest leader's interaction with police,2,low,TRUE,FALSE,0.85,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,anti_cjp,mocking,dipke,negative,0.75,The phrase 'पुलिस के आगे नतमस्तक CJP के फाउंडर' (CJP founder prostrating before police) implies mockery or criticism of Dipke's actions.,FALSE,ok
BRNpgghPs_M,6a53c8b76dadc213c0cc9317,youtube,https://www.youtube.com/channel/UCWk-7Yosyvzln9ZzJg8BvVg,search,https://www.youtube.com/watch?v=BRNpgghPs_M,Cockroach Janata Party News : कॉकरोचों पर क्यों भड़के Sonam Wangchuk | Abhijeet Dipke | CJP Protest Cockroach Janata Party News : कॉकरोचों पर क्यों भड़के Sonam Wangchuk | Abhijeet Dipke | CJP Protest | Cockroach Janata Party | Cockroach Party | Cockroach Janta Party | CJP Protest In Delhi | Jantar Mantar Protest | Abhijeet Dipke News | Sonam Wangchuk Hunger Strike | Cockroach Janata Party Live | Cockroach Party Protest | Cockroach Janta Party Protest | Abhijeet Dipke Protest | Sonam Wangchuk Ne…,abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on a public figure's reaction to the 'Cockroach Janata Party', which is news commentary.",news_report,report on a public figure's reaction to a protest group,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.85,Reports on Sonam Wangchuk being angry at 'cockroaches' (CJP) without taking a side.,FALSE,ok
ZIymqECGNKw,6a53c8b86dadc213c0cc9318,youtube,https://www.youtube.com/channel/UCrtMQWiL5rTHFMOoxc3_zPg,search,https://www.youtube.com/watch?v=ZIymqECGNKw,"CJP के संस्थापक Abhijeet Dipke ने क्यों पकड़ा Delhi Police का #cockroachjantaparty #shorts CJP के संस्थापक Abhijeet Dipke ने क्यों पकड़ा Delhi Police का #cockroachjantaparty #shorts Discription In the midst of continuous paper leaks under the Modi government, the Cockroach Janata Party's founder Abhijeet Dipke is forced to beg Delhi Police for permission to put tarpaulin on tents at Jantar Mantar. Students on hunger strike are left exposed to heavy rains, yet permission is denied. Is this how s…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content criticizes the government and police for denying protest facilities, which is political criticism and protected expression.",political_criticism,criticize government/police handling of protest,2,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,anti_government,critical,government,negative,0.8,"Criticizes the Modi government for paper leaks and the police for denying tarpaulin permission, highlighting student suffering.",FALSE,ok
PmbIZBXGVeE,6a53c8b86dadc213c0cc9319,youtube,https://www.youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ,search,https://www.youtube.com/watch?v=PmbIZBXGVeE,"बारिश में भीगे CJP Protest के प्रदर्शनकारी, Abhijeet Dipke ने Delhi Police पर लगाए बड़े आरोप CJP Protest Jantar Mantar: Cockroach Janta Party founder Abhijeet Dipke has accused Delhi Police of denying permission to set up tarpaulin sheets at the #JantarMantar protest site despite heavy rain. Protesters claim that continuous rainfall on the night of July 8 left mattresses and belongings soaked, with several people reportedly falling sick. #Dipke said his team had been seeking approval for tents f…",abhijeet dipke cjp,,['NONE'],,NONE,['NONE'],NONE,"This content reports on protest conditions and accusations against the police, which is news reporting on a protest.",news_report,report on protest conditions and accusations against police,1,low,TRUE,FALSE,0.9,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.85,"Reports on Dipke accusing Delhi Police of denying tarpaulin permission during rain, presenting both sides of the event.",FALSE,ok
5zPrgzEGYwQ,6a53c8b96dadc213c0cc931a,youtube,https://www.youtube.com/channel/UCWBnDlqkvqvQ1UNa6pCP0cA,search,https://www.youtube.com/watch?v=5zPrgzEGYwQ,"हाईकोर्ट में Cockroach Janta Party की बड़ी जीत,सरकार को फैसला लेना पड़ा वापस The Delhi High Court on Tuesday ordered the restoration of the Cockroach Janta Party's (CJP) X handle, which had been withheld in India since May.Justice Swarana Kanta Sharma passed the order while allowing a petition filed by CJP founder Abhijeet Dipke challenging the Centre's decision to block the account. Journalist Kumkum Binwal explains. #cjp #cockroachjantaparty #kumkumbinwal #abhijeetdipke #sonamwangchuk #breaki…",cjp account withheld,,['NONE'],,NONE,['NONE'],NONE,"This post reports on a Delhi High Court order regarding the restoration of the CJP's X handle, which is news commentary.",news_report,report on court decision and CJP account restoration,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.9,"Reports on the Delhi High Court ordering restoration of CJP's X handle, citing facts and legal details.",FALSE,ok
DhbIZj2mzMw,6a53c8b96dadc213c0cc931b,youtube,https://www.youtube.com/channel/UCqdUByb1QqRrWxhWiJVJOpw,search,https://www.youtube.com/watch?v=DhbIZj2mzMw,"हाईकोर्ट में Cockroach Janta Party की बड़ी जीत,सरकार को फैसला लेना पड़ा वापस #shorts #breakingnews The Delhi High Court on Tuesday ordered the restoration of the Cockroach Janta Party's (CJP) X handle, which had been withheld in India since May.Justice Swarana Kanta Sharma passed the order while allowing a petition filed by CJP founder Abhijeet Dipke challenging the Centre's decision to block the account. Journalist Kumkum Binwal explains. The Delhi High Court has ordered the restoration of the…",cjp account withheld,,['NONE'],,NONE,['NONE'],NONE,"This post reports on a Delhi High Court order regarding the restoration of the CJP's X handle, which is news commentary.",news_report,report on court decision and CJP account restoration,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.9,"Reports on the Delhi High Court ordering restoration of CJP's X handle, citing facts and legal details.",FALSE,ok
d1-vQPP4AmA,6a53c8ba6dadc213c0cc931c,youtube,https://www.youtube.com/channel/UCsIoqzvspwz4lmuv8TSpQRg,search,https://www.youtube.com/watch?v=d1-vQPP4AmA,"Cockroach Janta Party WINS In High Court! 🪳⚖️ X Account Unblocked!#shorts #viral #NEET 2026 In a significant ruling, #Justice Swarana Kanta Sharma directed the #restoration of the Cockroach Janta Party’s (CJP) original X handle (@CJP_for_India). This comes after the #Central #Government #officially stated it had no objection to unblocking it. Representing the Centre, #Solicitor #General Tushar Mehta revealed that the handle was initially withheld under #Section 69(A) of the IT Act as a precauti…",cjp account withheld,,['NONE'],,NONE,['NONE'],NONE,"This post reports on a Delhi High Court order regarding the restoration of the CJP's X handle, which is news commentary.",news_report,report on court decision and CJP account restoration,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.9,"Reports on the Delhi High Court ordering restoration of CJP's X handle, citing facts and legal details.",FALSE,ok
5PjbdDo0K1Y,6a53c8bb6dadc213c0cc931e,youtube,https://www.youtube.com/channel/UC9MiUkC9Mq8XIVRcba98_sA,search,https://www.youtube.com/watch?v=5PjbdDo0K1Y,"India Blocked This Party in 4 Days: The Section 69A Order Nobody Can Read #Shorts Watch the full analysis here: https://www.youtube.com/watch?v=NVLXVdJ2338 On May 15, 2026, Chief Justice Surya Kant's 'cockroach' remark sparked a youth explosion. A day later, Abhijeet Dipke launched the Cockroach Janta Party—and it went viral. Within two weeks, CJP amassed 22 million Instagram followers, overtaking the BJP and Congress itself, before the government withheld its X account under Section 69A. The t…",cjp account withheld,,['NONE'],,NONE,['NONE'],NONE,"This post provides context on the CJP's rapid growth and the government's action to withhold its X account, which is news commentary.",news_report,explain the origin and blocking of the CJP X account,1,low,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,cjp,neutral,0.8,Provides a factual recap of CJP's rise and the government's action to withhold its account.,FALSE,ok
WbpkBR1p_Gc,6a53c8bb6dadc213c0cc931f,youtube,https://www.youtube.com/channel/UCpnJT4DaNxb2qA6ACTvyEuw,search,https://www.youtube.com/watch?v=WbpkBR1p_Gc,"Sonam Wangchuk’s total weight loss since the start of the hunger strike is more than 7 Kg Climate activist Sonam Wangchuk’s total weight loss since the start of the hunger strike is more than 7 Kg New Delhi 9 Jul : Educator and climate activist Sonam Wangchuk's condition deteriorated further on Wednesday (July 8, 2026) as doctors examining him reported a loss of over 7 Kg in his weight on the 12th day of his indefinite fast at Jantar Mantar. The Cockroach Janta Party's (CJP) protest at the prot…",cjp account withheld,,['NONE'],,NONE,['NONE'],NONE,"This post reports on the health of Sonam Wangchuk during his hunger strike and mentions the CJP protest, which is news reporting.",news_report,report on Sonam Wangchuk's hunger strike and CJP protest,0,none,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,none,neutral,0.8,Reports on Sonam Wangchuk's health during his hunger strike and mentions CJP's protest.,FALSE,ok
5M6Ef8cjJjU,6a53c8bc6dadc213c0cc9320,youtube,https://www.youtube.com/channel/UC9MiUkC9Mq8XIVRcba98_sA,search,https://www.youtube.com/watch?v=5M6Ef8cjJjU,"Day 12: Wangchuk's Vitals Are Falling and Delhi Refuses to Answer #Shorts Watch the full analysis here: https://www.youtube.com/watch?v=NVLXVdJ2338 On May 15, 2026, Chief Justice Surya Kant's 'cockroach' remark sparked a youth explosion. A day later, Abhijeet Dipke launched the Cockroach Janta Party—and it went viral. Within two weeks, CJP amassed 22 million Instagram followers, overtaking the BJP and Congress itself, before the government withheld its X account under Section 69A. The trigger:…",cjp account withheld,,['NONE'],,NONE,['NONE'],NONE,"This post provides context on the CJP's rapid growth and the government's action to withhold its X account, which is news commentary.",news_report,explain the origin and blocking of the CJP X account,1,low,TRUE,FALSE,1,FALSE,FALSE,,,FALSE,FALSE,FALSE,ok,neutral_news,informative,none,neutral,0.8,"Reports on Wangchuk's falling vitals and the government's inaction, framing it as news.",FALSE,ok
